date,su
20130131,1646838.29462562
20130201,316422.34852742
20130202,413637.87834542
20130203,273700.31687534
20130204,667407.30049815
20130205,714111.62456113
20130206,901001.63076618
20130207,770865.22022449
20130208,776009.4422622
20130209,701819.86295984
20130210,385924.22304005
20130211,656881.512866363
20130212,887587.84812163
20130213,1038002.13943469
20130214,886444.13366644
20130215,906514.91609715
20130216,679333.59209521
20130217,569816.1694827
20130218,890751.67680393
20130219,887165.66419417
20130220,981976.80713819
20130221,912445.07725253
20130222,944869.034879
20130223,810089.23471675
20130224,629070.05959545
20130225,1105007.03038923
20130226,1395762.32078556
20130227,1483472.2371102
20130228,2048810.66373481
20130301,340192.37122739
20130302,276904.70088624
20130303,246241.37309472
20130304,690381.89672617
20130305,842278.71669302
20130306,820528.30066166
20130307,815616.739876461
20130308,689007.56116535
20130309,623661.49143144
20130310,358710.65159523
20130311,755743.5616701
20130312,938249.965224448
20130313,816581.35605939
20130314,767169.84966282
20130315,848942.0745585
20130316,631529.03162962
20130317,463576.09644916
20130318,885791.9998045
20130319,1040718.05193148
20130320,1009277.38870211
20130321,949636.24434902
20130322,888445.73899678
20130323,833771.04432078
20130324,586904.98831498
20130325,977281.10909886
20130326,1105037.38634064
20130327,980905.4601594
20130328,1280572.50265897
20130329,1243393.29147353
20130330,1303289.35288068
20130331,986474.69594375
20130401,152938.80597704
20130402,412653.32192638
20130403,542592.86091617
20130404,673003.102395
20130405,531521.91789278
20130406,570454.70612321
20130407,285999.58435987
20130408,779887.15622102
20130409,768405.20719485
20130410,690504.56486315
20130411,826815.12557257
20130412,728342.36448004
20130413,753156.24196013
20130414,455032.32436592
20130415,880601.04824543
20130416,985926.53982296
20130417,912223.63383881
20130418,841674.18610915
20130419,848825.71707596
20130420,742293.161147455
20130421,433328.19490389
20130422,684729.67857898
20130423,1128653.89307612
20130424,1000275.24560626
20130425,979483.90453406
20130426,1151171.74990142
20130427,911660.12971916
20130428,555653.37090303
20130429,1314171.37504881
20130430,1697061.85872822
20130501,254618.59899562
20130502,419185.10175947
20130503,582933.56979616
20130504,575346.52240965
20130505,279799.0537883
20130506,590534.624149929
20130507,746270.83929629
20130508,843792.0593518
20130509,872920.60352469
20130510,752069.34819181
20130511,337330.0349577
20130512,620300.33904078
20130513,733223.41044204
20130514,905924.22702418
20130515,851835.89695006
20130516,922975.64071955
20130517,985318.255958115
20130518,505037.08719518
20130519,370250.01720808
20130520,709596.24554201
20130521,904485.55995716
20130522,966760.33893758
20130523,1149167.09640237
20130524,894023.00528199
20130525,761208.13492929
20130526,473018.99868544
20130527,985221.89181322
20130528,1252854.46650732
20130529,1389875.3476095
20130530,1303861.1760033
20130531,1617399.01588912
20130601,217212.1780427
20130602,194583.9066603
20130603,458597.3231303
20130604,701103.543168573
20130605,686474.43818704
20130606,772039.60441264
20130607,728335.81895551
20130608,610468.33600039
20130609,344765.68129651
20130610,699735.90369431
20130611,820396.649018875
20130612,792899.29569101
20130613,788005.42971845
20130614,686690.33281807
20130615,646599.06758749
20130616,250484.84860726
20130617,650996.58877548
20130618,844958.75671021
20130619,947486.844445189
20130620,1031558.15242968
20130621,849965.67437642
20130622,751035.43668086
20130623,532893.4521863
20130624,904299.483605865
20130625,1173809.77578363
20130626,1034022.77925825
20130627,1375010.00248699
20130628,1214131.20471513
20130629,1417827.29846239
20130630,873002.923730362
